SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION,REPLACES RECURRENT EVENT FROM
"RDV et inscriptions étudiants internationaux","2020-09-04 08:00 AM","2020-09-04 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"Algorithmique et programmation","2020-09-04 08:00 AM","2020-09-04 10:00 AM",,"3EUAAEP8_2020_S5_BE_G1JOSSEROND CharlesGOUNON Patrick(Exporté le:23/03/2023 17:56)","","G-3D003-info,G-3B001-info","","",,,,,
"Materiaux genie electrique","2020-09-04 08:15 AM","2020-09-04 10:15 AM",,"4EUAMGE8_2020_S7_CTD_G1HANNA Rachelle(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"Algorithmique et programmation","2020-09-04 10:15 AM","2020-09-04 12:15 PM",,"3EUAAEP8_2020_S5_BE_G1JOSSEROND CharlesGOUNON Patrick(Exporté le:23/03/2023 17:56)","","G-3B001-info,G-3D003-info","","",,,,,
"Materiaux genie electrique","2020-09-04 10:30 AM","2020-09-04 12:30 PM",,"4EUAMGE8_2020_S7_CTD_G1HANNA Rachelle(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"réunion Vie Etudiante / Hayate Khennouf","2020-09-04 11:30 AM","2020-09-04 12:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-4D005-Projet","","",,,,,
"Fondamentaux de mathematiques","2020-09-04 01:30 PM","2020-09-04 03:30 PM",,"3EUAFDM8_2020_S5_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"Résa D. ATOCHE","2020-09-04 02:00 PM","2020-09-04 03:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B004","","",,,,,
"Kick off meeting","2020-09-04 02:00 PM","2020-09-04 03:30 PM",,"M2-HCE-Advanced Simulation Tools For MechaCOMBE Gael(Exporté le:23/03/2023 17:56)","","G-1A002-Amphi Ampère","","",,,,,
"RESERVATION POUR INSCRIPTIONS SCOLARITE","2020-09-07 07:30 AM","2020-09-07 09:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-Salle des forums","","",,,,,
"Fondamentaux de mathematiques","2020-09-07 08:00 AM","2020-09-07 10:00 AM",,"3EUAFDM8_2020_S5_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"RDV et inscriptions étudiants internationaux","2020-09-07 08:00 AM","2020-09-07 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"English for your Career","2020-09-07 08:15 AM","2020-09-07 10:15 AM",,"4EMAENG9_2020_S8_TD_G1BELANGER Sophie(Exporté le:23/03/2023 17:56)","","G-2A006","","",,,,,
"English for your Career","2020-09-07 08:15 AM","2020-09-07 10:15 AM",,"4EMAENG9_2020_S8_TD_G2GUY Rebecca(Exporté le:23/03/2023 17:56)","","G-4D003","","",,,,,
"BF","2020-09-07 10:00 AM","2020-09-07 12:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-1D003-Salle du Conseil","","",,,,,
"Fondamentaux de mathematiques","2020-09-07 10:15 AM","2020-09-07 12:15 PM",,"3EUAFDM8_2020_S5_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"Module accompagnement professionnel","2020-09-07 10:30 AM","2020-09-07 12:30 PM",,"4EMAMAP9_2020_S8_TD_G1BELANGER Sophie(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"Ense3 1A Anglais réunion","2020-09-07 01:30 PM","2020-09-07 03:45 PM",,"(Exporté le:23/03/2023 17:56)","","G-1D003-Salle du Conseil","","",,,,,
"Materiaux genie electrique","2020-09-07 01:30 PM","2020-09-07 03:30 PM",,"4EUAMGE8_2020_S7_CTD_G1HANNA Rachelle(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"Welcome meeting M1 SGB","2020-09-07 02:00 PM","2020-09-07 04:30 PM",,"M1-SGBMOCANU StephaneDEBUSSCHERE Vincent(Exporté le:23/03/2023 17:56)","","G-0B007-Amphi Bergès","","",,,,,
"RESERVATION POUR INSCRIPTIONS SCOLARITE","2020-09-08 07:30 AM","2020-09-08 09:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-Salle des forums","","",,,,,
"RENTREE Filière IEN","2020-09-08 08:00 AM","2020-09-08 10:15 AM",,"2A-IEN(Exporté le:23/03/2023 17:56)","","G-2B009","","",,,,,
"RENTREE Filière ASI","2020-09-08 08:00 AM","2020-09-08 10:15 AM",,"2A-ASI(Exporté le:23/03/2023 17:56)","","G-0B007-Amphi Bergès","","",,,,,
"RENTREE Filière SEM","2020-09-08 08:00 AM","2020-09-08 10:15 AM",,"2A-SEM(Exporté le:23/03/2023 17:56)","","G-1C002-Amphi Coulomb","","",,,,,
"RENTREE Filière ME","2020-09-08 08:00 AM","2020-09-08 10:15 AM",,"2A-ME(Exporté le:23/03/2023 17:56)","","G-1A002-Amphi Ampère","","",,,,,
